Start_Time,End_Time,City,State,latitude,longitude,timezone_offset
1465946453,1465946453,Lacey,Washington,47.0213,-122.7774,-8
1469381012,1469142966,Seattle,Washington,37.751,-97.822,-6
1472008351,1472008351,Portland,Oregon,45.5288,-122.6821,-8
1477023249,1473816231,Spokane,Washington,47.6987,-117.4397,-7
1492225622,1492225622,Rochester,Washington,47.0213,-122.7774,-8
1497499700,1497499700,Seattle,Washington,37.751,-97.822,-6
1515202863,1503800475,Lacey,Washington,47.2123,-123.0971,-8
1515915038,1515915038,Salem,Oregon,45.5176,-122.6721,-8
1526451795,1516049349,Lacey,Washington,47.2123,-123.0971,-8
1528666071,1528666071,Washougal,Washington,45.5959,-122.3104,-8
1530346623,1529464552,Lacey,Washington,47.2123,-123.0971,-8
1532818785,1531194592,Seattle,Washington,47.6348,-122.3451,-8
1533714585,1533714585,Lacey,Washington,47.2123,-123.0971,-8
1534011225,1534011225,Seattle,Washington,47.6901,-122.3747,-8
1535045783,1535045783,Lacey,Washington,47.2123,-123.0971,-8
1535932258,1535932258,Philadelphia,Pennsylvania,40.0364,-75.2219,-5
1536303336,1536303336,Kingston,New Hampshire,42.9142,-71.0631,-4
1536964254,1536964254,Olympia,Washington,47.0111,-122.875,-8
1538065511,1537467053,Seattle,Washington,47.6733,-122.3426,-8
1538682086,1538682086,San Jose,California,37.705,-121.0855,-8
1539273463,1538682146,Olympia,Washington,47.123,-122.8559,-8
1540266831,1540266831,Lacey,Washington,47.2123,-123.0971,-8
1540518747,1540518747,Seattle,Washington,47.5834,-122.2979,-8
1572924864,1544330815,Lacey,Washington,47.2123,-123.0971,-8
1576803236,1576803236,Shelton,Washington,46.8213,-123.0356,-8
1591841729,1591841611,Yelm,Washington,47.0213,-122.7774,-8
1635876327,1635876327,Bellingham,Washington,48.7494,-122.4896,-8
1648162596,1648162596,Chehalis,Washington,47.0213,-122.7774,-8
1675106787,1648450169,Bellingham,Washington,48.7494,-122.4896,-8
1693432798,1693432798,Cheyney,Pennsylvania,40.2062,-75.53,-5
1693470327,1693470327,Berwick,Pennsylvania,40.1435,-75.3779,-5
1693523379,1693523379,Essington,Pennsylvania,40.1435,-75.3779,-5
1693557927,1693557927,Williamsport,Pennsylvania,40.245,-75.1331,-5
1693610708,1693610708,New York,New York,40.782,-73.9953,-4
1693872045,1693653109,Philadelphia,Pennsylvania,40.38,-75.2718,-5
1693921812,1693921812,Mehoopany,Pennsylvania,40.0359,-75.145,-5
1694010278,1693958717,Philadelphia,Pennsylvania,39.9544,-75.1657,-5
1694050913,1694050913,Lakewood,Washington,47.6295,-122.3165,-8
1694202243,1694105180,Tumwater,Washington,47.0111,-122.875,-8
1694390361,1694224586,Seattle,Washington,47.5461,-122.3723,-8
1694478525,1694398418,Tracyton,Washington,47.6348,-122.3451,-8
1694662278,1694484988,Seattle,Washington,47.5415,-122.393,-8
1694921667,1694747027,Everett,Washington,47.6784,-122.1857,-8
1694940516,1694940516,Mill Creek,Washington,47.6631,-122.3029,-8
1695027549,1695009609,Lacey,Washington,47.6307,-122.2301,-8
1695115286,1695100534,Seattle,Washington,47.6348,-122.3451,-8
1695204305,1695187505,Milton,Washington,47.6137,-122.3104,-8
1695797119,1695274518,Lacey,Washington,47.6137,-122.3104,-8
1696294344,1695847095,Marysville,Washington,47.6137,-122.3104,-8
1696755312,1696320716,Seattle,Washington,47.6137,-122.3104,-8
1696801525,1696801525,Bellingham,Washington,37.751,-97.822,-6
1696841968,1696837257,Seattle,Washington,47.6008,-122.3248,-8
1696897257,1696897257,Bellingham,Washington,48.7494,-122.4896,-8
1696932948,1696929713,Seattle,Washington,47.6008,-122.3248,-8
1697733312,1697016442,Bellingham,Washington,48.7494,-122.4896,-8
1697777280,1697777280,Kirkland,Washington,47.6109,-122.3303,-8
1697820565,1697820565,Coeur d'Alene,Idaho,47.6137,-122.3104,-8
1698042189,1697866445,Bellingham,Washington,48.7494,-122.4896,-8
1698081604,1698081604,Auburn,Washington,47.4936,-122.2415,-8
1698430052,1698131275,Bellingham,Washington,48.7494,-122.4896,-8
1698516522,1698488776,Seattle,Washington,47.6109,-122.3303,-8
1698602924,1698585770,Mercer Island,Washington,47.6859,-122.2994,-8
1698689340,1698678954,Bellingham,Washington,48.7494,-122.4896,-8
1698769564,1698769564,Seattle,Washington,47.6348,-122.3451,-8
1698866401,1698777279,Bellingham,Washington,48.7494,-122.4896,-8
1698957295,1698951998,Seattle,Washington,47.6137,-122.3104,-8
1699212181,1699034901,Bellingham,Washington,48.7494,-122.4896,-8
1699223953,1699223953,Seattle,Washington,47.5415,-122.393,-8
1699295902,1699295902,Mymensingh,Dhaka Division,23.7018,90.3742,7
1700114908,1699298947,Bellingham,Washington,48.7494,-122.4896,-8
1700165705,1700165705,Seattle,Washington,47.6144,-122.3447,-8
1700183747,1700183747,Bellingham,Washington,48.7494,-122.4896,-8
1700261256,1700261256,Snohomish,Washington,47.54,-122.3032,-8
1700350135,1700271146,Bellingham,Washington,48.7494,-122.4896,-8
1700438862,1700362727,Seattle,Washington,47.6733,-122.3426,-8
1700526544,1700455274,Bellingham,Washington,48.7494,-122.4896,-8
1700542123,1700542123,Coeur d'Alene,Idaho,47.6631,-122.3029,-8
1700629491,1700618102,Bellingham,Washington,48.7494,-122.4896,-8
1700802794,1700705370,Tumwater,Washington,47.0111,-122.875,-8
1700889198,1700889198,Port Townsend,Washington,47.5741,-122.3975,-8
1700910658,1700910658,Tumwater,Washington,47.0111,-122.875,-8
1700975821,1700975821,Coupeville,Washington,47.6109,-122.3303,-8
1701183492,1701001125,Bellingham,Washington,48.7494,-122.4896,-8
1701235768,1701235768,Seattle,Washington,47.6109,-122.3303,-8
1701297933,1701271040,Bellingham,Washington,48.7494,-122.4896,-8
